,Comparison,Correlation,P_value
2559,EGFR_proteomics,0.9999999999999999,0.0
5068,MPP6_proteomics,0.6482016750801229,4.834438414996777e-15
1925,CPNE8_proteomics,0.616452652877966,2.2292629095873168e-13
1982,CRYBG3_proteomics,0.6099970715071926,4.612176438723387e-13
6633,PSAT1_proteomics,0.6093187041227728,4.973595244978248e-13
6130,PHC3_proteomics,-0.6032043673296034,9.738760535376897e-13
3246,GATA3_proteomics,-0.5989112714956837,1.5478464694256326e-12
4378,KRT16_proteomics,0.5953254717268092,2.267368508490368e-12
4390,KRT5_proteomics,0.5947703956956036,2.4043842952646757e-12
5764,NXN_proteomics,0.5928643081653011,2.9385727077300687e-12
392,ANGPTL4_proteomics,0.5927303341631387,2.9801580865769115e-12
5174,MSI2_proteomics,-0.5927073291304642,2.9873558506601664e-12
9431,WWTR1_proteomics,0.5904236890563149,3.792047745957696e-12
4559,LPIN1_proteomics,0.5853048327707228,6.429025037315383e-12
6240,PLA2G4A_proteomics,0.5821618873400262,8.850043244400969e-12
3121,FMNL2_proteomics,0.5798977074970961,1.1117892337405575e-11
738,ATP1B3_proteomics,0.5791346978189895,1.2001612503431938e-11
2561,EHBP1_proteomics,0.578128173337492,1.3271710923324408e-11
8405,TBC1D9_proteomics,-0.5765724918711845,1.5493800901363032e-11
5452,NDUFA4L2_proteomics,0.6098649748436494,2.6391190237714396e-11
4540,LMX1B_proteomics,-0.5700717567371781,2.9329942308461165e-11
7833,SLC9A3R1_proteomics,-0.5698606251584877,2.993721603128771e-11
5918,PARD6B_proteomics,-0.567350488543637,3.815436261159485e-11
1162,CA12_proteomics,-0.5654257640250651,4.588954162558463e-11
5441,NDRG1_proteomics,0.5635350183366943,5.494995624499721e-11
8862,TRIP10_proteomics,0.5627884324370849,5.898357339291424e-11
2240,DENND2D_proteomics,-0.5624979330807623,6.062903778798008e-11
5014,MMP14_proteomics,0.5611608759369696,6.879092766499291e-11
559,ARHGAP10_proteomics,0.5605272344738426,7.301970002203246e-11
5018,MMP24_proteomics,0.5594043658286081,8.113699162208727e-11
6304,PLOD1_proteomics,0.559319003315738,8.178847403328096e-11
6095,PFKP_proteomics,0.5576454572411504,9.56282529768725e-11
1115,C3orf58_proteomics,0.5757376747378147,1.072509707654087e-10
4982,MKL2_proteomics,-0.5560954802302165,1.1044133891130862e-10
2973,FAT1_proteomics,0.5520735268804902,1.5993268289104324e-10
3144,FOXA1_proteomics,-0.5512934214292077,1.7174353739367383e-10
1481,CDK6_proteomics,0.5505854145057493,1.8318707686012932e-10
4143,JADE2_proteomics,-0.5498101489030285,1.965601817326199e-10
2928,FAM49A_proteomics,0.5424790152543927,3.793445903602549e-10
5362,NAMPT_proteomics,0.5424696350033302,3.796600090509416e-10
4212,KDELC1_proteomics,0.5403531169426077,4.576744229657296e-10
1739,CMBL_proteomics,-0.5382975141734666,5.480819880033156e-10
2443,DSC2_proteomics,0.5372170409572861,6.022617910674836e-10
2756,ESR1_proteomics,-0.5358493786720276,6.782657491107294e-10
8835,TRIM16_proteomics,0.5357323977714346,6.85178868587559e-10
8260,SUN1_proteomics,0.5345705715261186,7.576226420501041e-10
1196,CALU_proteomics,0.5339506757285655,7.992347256304678e-10
2444,DSC3_proteomics,0.5335853213297187,8.247809036258182e-10
3963,IGF2BP2_proteomics,0.5318454295739992,9.576076694939554e-10
9281,VLDLR_proteomics,0.5682466599006053,1.0410938986118182e-09
5309,MYO1E_proteomics,0.5303115940393515,1.0915719613312294e-09
1842,COLGALT1_proteomics,0.5290024876770371,1.2200047021712356e-09
731,ATP11C_proteomics,0.528717239982597,1.2498576295847144e-09
1236,CARD6_proteomics,0.544855414491719,1.3011981028388858e-09
8594,TLE3_proteomics,-0.5270653697701574,1.4370418102625891e-09
7359,RUNDC1_proteomics,-0.5427728702595263,1.5461140063880212e-09
2499,DYSF_proteomics,0.5258927641310345,1.5859756223442953e-09
6539,PREX1_proteomics,-0.525054101359793,1.7014810926158726e-09
3048,FERMT1_proteomics,0.5392303793124618,2.067658010618045e-09
6985,RBM47_proteomics,-0.5221929596125053,2.159538574628549e-09
4910,METTL26_proteomics,-0.5219021010686389,2.2122405534792656e-09
7792,SLC2A1_proteomics,0.5196022216464615,2.674762761881831e-09
3490,GPT2_proteomics,0.5192392685306445,2.755760649148275e-09
1980,CRYAB_proteomics,0.5186035463896904,2.9033409508721572e-09
122,ACSL4_proteomics,0.5176031734206615,3.151056552685242e-09
6853,RAB9A_proteomics,0.5176018804348612,3.151389489899662e-09
1339,CCDC88A_proteomics,0.516840101118471,3.3535308584171363e-09
5012,MMP12_proteomics,0.5164467401362913,3.4627285118772875e-09
6855,RABEP1_proteomics,-0.515995516368128,3.5921945798971685e-09
5301,MYO10_proteomics,0.5158009122647153,3.649454105638958e-09
8210,STRBP_proteomics,-0.5148746843204373,3.9342109521733824e-09
7607,SERPINH1_proteomics,0.5142536168293892,4.136970291263945e-09
7707,SIGIRR_proteomics,-0.5136072448700153,4.358629580973901e-09
2792,EXOC6_proteomics,-0.5093363841981216,6.1368085346207495e-09
5724,NUDT12_proteomics,-0.5091051248182532,6.250724699438469e-09
2745,ERO1A_proteomics,0.5090758594376754,6.265284353170184e-09
1412,CD58_proteomics,0.5267782596348842,6.612633145112346e-09
829,BAG2_proteomics,0.507777951741559,6.944750591701524e-09
3706,HID1_proteomics,-0.5068383468344935,7.480175659757525e-09
7677,SH3PXD2B_proteomics,0.5067301339639187,7.544323691870133e-09
5728,NUDT16L1_proteomics,-0.5047033515916206,8.847922990017437e-09
1706,CLIC3_proteomics,0.5046071600059894,8.91487750314117e-09
5559,NHSL1_proteomics,0.5045530600606747,8.952747168955848e-09
3093,FKBP14_proteomics,0.5032624547163831,9.903276574561931e-09
110,ACOT9_proteomics,0.5028474786427981,1.02289458074368e-08
4738,MAP4K4_proteomics,0.50275204937182,1.0305276923107898e-08
7595,SERPINB5_proteomics,0.5024008696922698,1.0590905396872931e-08
3354,GLIPR2_proteomics,0.5021335801744335,1.0813373484805627e-08
9629,ZNF24_proteomics,-0.5001120332098522,1.2647122412330022e-08
7456,SCCPDH_proteomics,-0.4997769949640491,1.2978487400654297e-08
4681,MAGED2_proteomics,-0.4996999685114255,1.3055837344104823e-08
1894,COX17_proteomics,-0.49927198686267804,1.3493728731135878e-08
8160,STARD10_proteomics,-0.49855480855592244,1.4259240507403122e-08
4391,KRT6A_proteomics,0.4979495457391999,1.4937513777796403e-08
6306,PLOD3_proteomics,0.49628886876123873,1.6960993603313725e-08
8844,TRIM29_proteomics,0.49577273373853326,1.764164966844541e-08
8261,SUN2_proteomics,0.4948037393643502,1.8990826395024405e-08
443,ANXA1_proteomics,0.49453610339916204,1.938054768894914e-08
4140,IVL_proteomics,0.5084112648906325,1.9392340123288718e-08
552,ARFGEF3_proteomics,-0.49405902818667796,2.0094319550416723e-08
6754,PVR_proteomics,0.49350232106617575,2.095907196310023e-08
5285,MYEF2_proteomics,-0.4934539524104653,2.1035864640039658e-08
3175,FSCN1_proteomics,0.49312566670373326,2.1564234148674706e-08
2863,FAM120A_proteomics,-0.49239725156848974,2.278236166259842e-08
5697,NT5C2_proteomics,0.48747559547366415,3.291507759093426e-08
9594,ZKSCAN1_proteomics,-0.4872888718726722,3.3373981996427055e-08
3945,IFT140_proteomics,-0.48667061634896436,3.4937545244976396e-08
5667,NRBF2_proteomics,0.48644218802003714,3.553277879957873e-08
3677,HECTD4_proteomics,-0.48638918265689,3.567227945483226e-08
452,ANXA8L1_proteomics,0.4859616284100746,3.68168448426999e-08
5841,OTUD7B_proteomics,-0.485531667809319,3.800323602381694e-08
4120,ITGB4_proteomics,0.4851230795618071,3.916448218296829e-08
6125,PHAX_proteomics,-0.484944000520934,3.9684071165127636e-08
389,ANGEL2_proteomics,-0.4842666389757003,4.170967954522435e-08
1567,CETN3_proteomics,-0.4840760143517346,4.229732952360795e-08
8011,SPAST_proteomics,0.4840631302725121,4.2337332445412385e-08
4379,KRT17_proteomics,0.4838078671121929,4.3137382586241436e-08
6919,RARA_proteomics,-0.48356230267274813,4.392066675627424e-08
8476,TES_proteomics,0.4835245762745326,4.404220265996842e-08
4764,MAPT_proteomics,-0.4834323479832534,4.434067262422071e-08
2105,CYP1B1_proteomics,0.48206733024007,4.899081611085665e-08
3847,HSD17B11_proteomics,0.48166707490232985,5.0440470648095895e-08
6027,PDIA6_proteomics,0.4814031793225152,5.141859260652656e-08
2083,CXXC5_proteomics,-0.4802514552658748,5.5903762860101474e-08
2661,ENO1_proteomics,0.4801493711879199,5.63188701605393e-08
9161,UPP1_proteomics,0.4798149058538358,5.769965689590127e-08
222,AES_proteomics,-0.47754118186809513,6.798098268060899e-08
9654,ZNF385A_proteomics,-0.4770613093349364,7.036413824485885e-08
5417,NCK2_proteomics,0.47690672613260865,7.114868650257347e-08
6026,PDIA5_proteomics,0.47659677506342535,7.274701967602288e-08
8988,TUBB6_proteomics,0.47655886161272604,7.29448676512732e-08
2361,DNAJC12_proteomics,-0.47604643496619786,7.566987016567277e-08
6872,RAD17_proteomics,-0.4745668662451699,8.409457750859916e-08
3136,FNDC3B_proteomics,0.4745020935747085,8.448314259273776e-08
9318,VSNL1_proteomics,0.47440304687704316,8.508063225036194e-08
3098,FKBP4_proteomics,-0.4740898207329234,8.699681812905219e-08
8959,TTC7A_proteomics,0.4914166896927468,8.848311247422148e-08
2093,CYB5R3_proteomics,0.4737904192691325,8.886691111266637e-08
641,ARMT1_proteomics,-0.4737404840606695,8.918252380568418e-08
7721,SIRPA_proteomics,0.4735861701808813,9.016463615238815e-08
3867,HSPA4_proteomics,-0.4735311498553074,9.051729793161041e-08
8741,TOM1L1_proteomics,-0.47324207569187443,9.239191453605989e-08
4108,ITGA6_proteomics,0.4726931621622974,9.605408702942197e-08
1265,CASZ1_proteomics,-0.47244071722508496,9.778447317843685e-08
1923,CPNE2_proteomics,0.4723247240200951,9.858949315067966e-08
7143,RND3_proteomics,0.48950591644422764,1.0096515895796212e-07
4107,ITGA5_proteomics,0.4718690283575349,1.0181382090436532e-07
206,ADI1_proteomics,0.4710886751899245,1.0757043333164846e-07
6282,PLEKHF2_proteomics,-0.4710397388098839,1.0794160086161011e-07
