Proteomics,P_Value,Medians,Cancer,size
PACS2,1.1235256299792942e-08,0.3862791741217283,Gbm,1.8304209118948678
DOCK5,2.754159732980314e-08,0.86281890029819,Gbm,1.74075683449719
PDZD8,2.3154142831668191e-07,0.4442598131900591,Gbm,1.5278507023419254
HAGH,3.2320288383112547e-07,0.6016187603764556,Gbm,1.494498558759446
DCTN4,5.25634274659359e-07,0.3621403649312675,Gbm,1.445866016136301
MAPK3,1.0206600748639713e-06,0.6651049672988946,Gbm,1.3795061007748277
DEPTOR,1.7343065649563647e-06,0.7270441409950436,Gbm,1.3264902898833277
RBP7,1.7534015488814836e-06,0.6786073211856101,Gbm,1.3253952914433422
KLK6,2.952388033659498e-06,0.9655816311612929,Gbm,1.273289621214791
SGCD,3.2943332966002656e-06,1.013305887886234,Gbm,1.2623306748388718
GLTP,4.775901582604219e-06,0.6862168284505473,Gbm,1.2251927788743702
GRWD1,5.036240320618097e-06,-0.530032311614201,Gbm,1.2198850722385
AKR1C1,5.200129867865178e-06,1.2795171880770853,Gbm,1.2166826958099295
PDIA2,6.04036276318759e-06,0.6148231834097171,Gbm,1.2017046487690692
LDB3,7.4943263824722824e-06,0.6765792856260254,Gbm,1.1801364306036186
SGF29,7.732715773332892e-06,-0.313492830219253,Gbm,1.177005042804546
CENPM,7.887774697311178e-06,-1.067398274693894,Gbm,1.1750196503785961
LMNB1,8.28837806367079e-06,-0.6516559644128684,Gbm,1.1700656257697122
EDIL3,9.677939839400992e-06,0.7650849814135879,Gbm,1.1545661505834726
TSPAN15,1.3802052829196182e-05,0.618216282159328,Gbm,1.1190693221125299
MCM6,1.3925676338984358e-05,-1.085407303029358,Gbm,1.1181776203205867
MCM4,1.3971960322097895e-05,-1.2364838744723565,Gbm,1.1178458070839217
CNTNAP4,1.4496295849580777e-05,1.044755087445428,Gbm,1.1141617399822465
FAM177A1,1.4844371583372852e-05,0.4602003985530555,Gbm,1.1117889782515715
USP39,1.742951671763575e-05,-0.4197656966513674,Gbm,1.095734542586002
TSPAN14,1.8722139093035922e-05,0.5860380598282965,Gbm,1.0885803825652514
CNDP1,1.8762432315142968e-05,0.888662576986052,Gbm,1.0883653968465272
RAB8B,2.0271731672046172e-05,0.446976426090049,Gbm,1.0806283170855977
MAP1LC3B,2.0323538648354648e-05,0.577114476492644,Gbm,1.0803730804335216
GINS3,2.090641272869013e-05,-0.8944315345010209,Gbm,1.0775454616932008
PEMT,2.1631363906833676e-05,1.4228247343655833,Gbm,1.074136626373051
NIPA1,2.2172464863015293e-05,0.33476759217741947,Gbm,1.071665936040716
REPS2,2.279080888546606e-05,0.60915767290676,Gbm,1.0689153222336716
GPATCH11,2.5722257342828686e-05,-0.5105384482536749,Gbm,1.0568153896395187
TMEM63A,2.7589410662162038e-05,0.4203003060229902,Gbm,1.0498078530522768
TFRC,2.9002510018769535e-05,-0.7459332689316355,Gbm,1.0448128179351879
SLC39A7,3.201800824601044e-05,-0.513747594478762,Gbm,1.0349212055765447
ATG10,3.353723081473157e-05,0.5448813550906307,Gbm,1.0302854368641117
FOLH1,3.5813656525603966e-05,0.7117573901671225,Gbm,1.0237181270102091
GUCY1A1,3.613531761634774e-05,0.6221029186802339,Gbm,1.0228239843553064
RFC5,3.668960368547378e-05,-0.48163520890781747,Gbm,1.0213017121359598
MTAP,3.673833605295394e-05,0.9136327111828361,Gbm,1.0211689768997303
AMPD3,3.775768829366571e-05,0.7760122859966825,Gbm,1.0184321439597455
PCSK6,3.7880058695340204e-05,0.5484973495257675,Gbm,1.0181085740140199
BCAS1,3.825068836435463e-05,1.1171665278578005,Gbm,1.0171349001399947
TSPAN8,3.8317042948331536e-05,2.060104688017562,Gbm,1.0169615775158278
ENPP2,3.9812527793391156e-05,0.6913942393698705,Gbm,1.0131328926524978
MCM5,4.100556313951896e-05,-0.8705330309606905,Gbm,1.0101802814134793
MCM2,4.136722462609951e-05,-0.9395132155795306,Gbm,1.0093021666371782
DIP2C,4.2263993687962546e-05,0.6286952740207751,Gbm,1.0071575047450119
XPNPEP1,4.2450859961298225e-05,0.2150913992486652,Gbm,1.0067163387195428
HNRNPD,4.2560195568042025e-05,-0.36296381413891005,Gbm,1.0064591117827673
USP31,4.512884144121304e-05,0.3994139201516925,Gbm,1.000598901604334
DNAJC12,4.620631411436543e-05,0.848463764400467,Gbm,0.9982394100072849
PCM1,5.112434764721637e-05,-0.35432011368007854,Gbm,0.9881249703639365
MCM7,5.28430493167614e-05,-1.0364554796463556,Gbm,0.9848184371482386
NUP37,6.884455321152304e-05,-0.46392953303117224,Gbm,0.9583659446862793
PTER,6.9919551238708e-05,0.8860068359896226,Gbm,0.9568165244848288
GCLC,7.126442248109606e-05,0.476277164073063,Gbm,0.9549113338512525
ALDH1A1,7.34495691605688e-05,1.274592549785523,Gbm,0.9518911521112867
NT5C2,7.434424238906676e-05,0.32879440600580223,Gbm,0.9506804327342945
NPL,7.539389093293336e-05,1.0864863938518778,Gbm,0.949278430834247
MAP1A,7.573934547665164e-05,0.7357876056649265,Gbm,0.9488212777241041
NT5DC1,7.720518156970808e-05,0.580501107611014,Gbm,0.9469043984407305
LRRC14,8.171609216766199e-05,0.29425547405763913,Gbm,0.9412259608937232
MCM3,8.335616300065465e-05,-0.9265258372271765,Gbm,0.9392388010281376
PUS7,8.64967549021681e-05,-0.43916788547769403,Gbm,0.9355403660312038
CLMN,8.876333405223239e-05,0.3022107349795715,Gbm,0.932953689805202
SLK,8.924095070418251e-05,0.3057573605529692,Gbm,0.9324170535115334
AKR1C3,8.971298311321783e-05,0.8056327009482855,Gbm,0.9318895060095451
ANLN,9.052761430653467e-05,0.9962724699476301,Gbm,0.9309855623342278
RFX2,9.127882398862527e-05,-0.6760220556822114,Gbm,0.9301591736053645
DSC2,9.610829115504839e-05,0.7244170717399425,Gbm,0.9250034969382369
SLC44A1,0.00010191962846807843,0.6141865522817425,Gbm,0.9191326011475965
AKR1D1,0.00010326547250389884,0.929409302599842,Gbm,0.9178207482590924
ARGLU1,0.00011217454168976676,-0.44895329893942904,Gbm,0.9095454491782364
