Proteomics,Brca_P_Value,Brca_Median
TMSB10_proteomics,0.1310510625608436,0.8763
DRG1_proteomics,0.1310510625608436,0.75135
EIF4H_proteomics,0.1310510625608436,0.41295000000000004
RIPK2_proteomics,0.1310510625608436,0.8267
MIEF1_proteomics,0.1310510625608436,0.84135
FAM98A_proteomics,0.13652193732468249,0.46724999999999994
NHLRC2_proteomics,0.13652193732468249,-0.47445000000000004
BAG2_proteomics,0.14773919110313427,1.05285
VAMP8_proteomics,0.14773919110313427,1.3209
STRAP_proteomics,0.14773919110313427,0.52415
ANP32A_proteomics,0.14773919110313427,-0.86585
ATE1_proteomics,0.14773919110313427,-0.661
ARNTL_proteomics,0.14773919110313427,-0.8220000000000001
SC5D_proteomics,0.14773919110313427,1.6161
TPD52L2_proteomics,0.14773919110313427,0.6274
TSPYL5_proteomics,0.1557982314483479,2.8719
IDI1_proteomics,0.1557982314483479,0.62005
IRF2_proteomics,0.1557982314483479,-0.3798
LPIN1_proteomics,0.1557982314483479,0.72425
APEX2_proteomics,0.1557982314483479,0.6777000000000001
RNF181_proteomics,0.1557982314483479,0.68995
EDC4_proteomics,0.1557982314483479,0.67095
PHF21A_proteomics,0.1557982314483479,-0.5695
METTL1_proteomics,0.1557982314483479,0.6469
NAMPT_proteomics,0.1557982314483479,1.3363
TOMM34_proteomics,0.1557982314483479,0.7890999999999999
SPAST_proteomics,0.1557982314483479,0.48065
ZNF526_proteomics,0.1557982314483479,-0.7662
TIMM44_proteomics,0.1557982314483479,0.99765
ATL2_proteomics,0.1557982314483479,1.68175
MAF1_proteomics,0.1557982314483479,-0.5341
ZNF598_proteomics,0.1557982314483479,0.5592
KARS_proteomics,0.1557982314483479,0.48665
MVD_proteomics,0.1557982314483479,1.1109
HPGD_proteomics,0.1557982314483479,1.9577000000000009
UBA3_proteomics,0.1557982314483479,0.8250500000000001
EPB41_proteomics,0.1557982314483479,-0.95405
ENPP5_proteomics,0.1557982314483479,-1.39925
ZC3H15_proteomics,0.1557982314483479,0.61625
TIA1_proteomics,0.1557982314483479,1.00075
DHX38_proteomics,0.16382131147354337,0.6082
MEMO1_proteomics,0.16382131147354337,0.69025
SH3PXD2B_proteomics,0.16382131147354337,0.6774500000000001
AIMP2_proteomics_isoform_1,0.2148063376154767,
ARFGAP1_proteomics,0.23613751668308278,0.50935
BTD_proteomics,0.23613751668308278,-0.9471499999999999
USP10_proteomics,0.2396334495148734,0.6242
JSRP1_proteomics,0.2396334495148734,-2.1975
THSD4_proteomics,0.2396334495148734,-2.06
DUSP12_proteomics,0.25486755621610274,0.3768
PRRC2C_proteomics,0.25486755621610274,0.4588
ADI1_proteomics,0.2579636959561624,0.78615
ZPR1_proteomics,0.2579636959561624,0.69725
LMX1B_proteomics,0.2579636959561624,-0.85965
TRUB1_proteomics,0.2579636959561624,-0.2969
PHC3_proteomics,0.2579636959561624,-0.51815
VRK2_proteomics,0.2579636959561624,0.9584
RBP1_proteomics,0.2585868581016785,1.1657
PUS10_proteomics,0.2585868581016785,0.6412
ATP6V1F_proteomics,0.2585868581016785,0.4185
PKNOX1_proteomics,0.2585868581016785,-0.4114
CABLES1_proteomics,0.26219172586848133,-0.5446
ZNF740_proteomics,0.26219172586848133,-0.47945000000000004
HCFC2_proteomics,0.26219172586848133,-0.32944999999999997
ROCK2_proteomics,0.26219172586848133,0.5690500000000001
TAF3_proteomics,0.26234281153268435,-0.47040000000000004
TOM1L1_proteomics,0.26234281153268435,-1.1935
FKBP14_proteomics,0.2629427636729343,0.91465
KCTD6_proteomics,0.2629427636729343,-1.26255
ZNF574_proteomics,0.2629427636729343,-0.5577500000000001
RANBP10_proteomics,0.26332863642196297,0.38455
SPTBN2_proteomics,0.26332863642196297,0.72245
MORC2_proteomics,0.26332863642196297,0.7155
RAD17_proteomics,0.26332863642196297,-0.53295
VIT_proteomics,0.26332863642196297,-2.29995
