Comparison,Correlation_Gbm
PHLDA1_proteomics,0.8168478152481624
SOCS2_proteomics,0.5627196030682289
CDH4_proteomics,0.5591797537196763
CKB_proteomics,0.5442462597158703
ARNT2_proteomics,0.5420787847456093
ROBO2_proteomics,0.5271277906035979
PHLDA3_proteomics,0.5258827854613878
MEOX2_proteomics,0.5458632466939957
PCDH17_proteomics,0.5060447136622968
LRP4_proteomics,0.5008960940270109
NEO1_proteomics,0.4969841203020866
RGMA_proteomics,0.4950729034600597
LRRC75A_proteomics,0.4954021585844763
EPHB3_proteomics,0.4960189368683785
CLIP2_proteomics,0.4932799211035536
SOX9_proteomics,0.4906701048845136
GPHN_proteomics,0.4865991159955391
DPP6_proteomics,0.4863244796622994
NFIA_proteomics,0.4804297800333734
LANCL2_proteomics,0.4787231306558208
NIPSNAP2_proteomics,0.4788812086777817
KCND3_proteomics,0.4746196748668135
BCR_proteomics,0.47380283053930894
ZYG11B_proteomics,0.4738725020249037
CTNND2_proteomics,0.4700018930346916
APC_proteomics,0.4683330913466173
SCRN1_proteomics,0.4659651498233915
NPAS3_proteomics,0.4651766456630772
FAM19A5_proteomics,0.4640521725822081
CTNNB1_proteomics,0.4608358789852845
MLC1_proteomics,0.4580797432124604
RGS12_proteomics,0.4498798737719337
MYO10_proteomics,0.4474781939588647
EMILIN3_proteomics,0.4448454995715303
TMX2_proteomics,0.44247121596391603
AFAP1L1_proteomics,0.4424701949535215
B3GLCT_proteomics,0.4397362703871937
PITPNC1_proteomics,0.4389280514887456
ADGRG1_proteomics,0.43904986726272655
NF1_proteomics,0.4390237262660885
TFRC_proteomics,0.4387652236476279
PCDH19_proteomics,0.437345661196642
ABI2_proteomics,0.43736669249384297
ELOVL2_proteomics,0.4369619362258975
CXXC5_proteomics,0.4368327665975318
TRIM9_proteomics,0.4355361097258303
SLC1A4_proteomics,0.4343277691531323
NLGN3_proteomics,0.4324734096342814
CHDH_proteomics,0.4323313546635734
CSPG5_proteomics,0.4307286699443128
YWHAE_proteomics,0.4301541477005727
PGM1_proteomics,0.4282548716357236
CDKN2C_proteomics,0.42719733165047696
ALDH7A1_proteomics,0.4262293120626578
DGKZ_proteomics,0.4263280321554888
GAB1_proteomics,0.4258739014606532
CLDN10_proteomics,0.42562711333320014
CPNE2_proteomics,0.4248405049107025
EDNRB_proteomics,0.4217204154726886
SLC6A9_proteomics,0.4215702800908227
RALGAPA1_proteomics,0.4202735232277472
NKAIN3_proteomics,0.4222427316581944
HEPACAM_proteomics,0.4193243321972752
KBTBD6_proteomics,0.4193132437143131
NOVA1_proteomics,0.4189851266128369
ACSS1_proteomics,0.4186308268749209
ACSBG1_proteomics,0.417256577986408
ZBTB47_proteomics,0.4143113269248181
HSPBP1_proteomics,0.41456606897323467
EPN2_proteomics,0.4140606955147329
MARC1_proteomics,0.41363993108833264
POU3F3_proteomics,0.4131017596264
WIPF3_proteomics,0.4120990789075213
FBXO17_proteomics,0.4104407031390381
PDGFA_proteomics,0.4129047933502273
DDR1_proteomics,0.40830140973003015
CDC34_proteomics,0.4074059174559267
CERS1_proteomics,0.4071543267060205
PTPRZ1_proteomics,0.4070490288685629
WASF3_proteomics,0.4066422126456417
ADGRL2_proteomics,0.4050506627240138
CTH_proteomics,0.4035097965983007
SLC38A3_proteomics,0.4033151382147209
DBI_proteomics,0.4021201509340753
SLC1A3_proteomics,0.4021191873892645
DMRTA2_proteomics,0.4195991712828893
ARL4A_proteomics,0.4976062686784009
PPP1R1C_proteomics,0.4001850907338539
ILDR2_proteomics,0.39953215931646496
PTPRA_proteomics,0.3989740691740296
MAGI1_proteomics,0.3988067725464009
PSAT1_proteomics,0.3979466242971892
ASIC1_proteomics,0.3971460115779735
SEPT7_proteomics,0.3970678329466579
SEPT11_proteomics,0.3958709661263328
ANKMY2_proteomics,0.3959198994881884
ADCY8_proteomics,0.3955496008719128
MCC_proteomics,0.3950186172926452
SALL2_proteomics,0.3950670279171111
FEZ1_proteomics,0.3942233721690001
ELP6_proteomics,0.3939022496373432
RFX4_proteomics,0.3920926355422456
MAP2_proteomics,0.39198267063941095
LFNG_proteomics,0.4114759865731353
PDZD2_proteomics,0.3913681002774162
SEMA6A_proteomics,0.3886851478050917
TMEM51_proteomics,0.38806162845641534
